# UTF-8 source catalog for Moonshine Japanese presentation.
# Format: English key<TAB>Japanese CP932-rendered text.
# Controller glyphs use {A}, {B}, {X}, {Y}, {L}, {R}, {Z}, {C},
# {AMP}, {SLASH}, {LEFT}, {UP}, {RIGHT}, {DOWN}, and {SHINE}.

# Core navigation, tabs, and shared values.
susamune	Moonshine
Visible goop	見えない汚れの表示
Freeze: jump	フリーズ：ジャンプ
Freeze: dive	フリーズ：ダイブ
Freeze: double jump	フリーズ：二段ジャンプ
Freeze: Petey wakeup	フリーズ：ボスパックン起動
Freeze: Eel activates	フリーズ：ウナギ起動
Freeze: Eel tooth cleaned	フリーズ：ウナギの歯
Recent IL history	最近のIL履歴
Freeze: dive rollout	フリーズ：ダイブ復帰
Freeze: dive getup	フリーズ：ダイブ起き上がり
Force Box Game	木箱屋ミニゲーム固定
Record IL PBs	IL PBを記録
PB popup	記録更新時に通知
QFT section history	QFT区間履歴
QF Sections	QF区間
Short recent IL names	最近のIL名を短縮
Savestate feedback	ステート通知
Wallkick display	壁キック表示
Restart queued popup	リスタート予約通知
Yoshi/nozzle save prompt	ヨッシー・ノズルでセーブテキストの表示
Ghost display	ゴースト表示
Ghost opacity	ゴースト透明度
Helmet	ヘルメット
Cap	帽子
Shades	サングラス
Shine shirt	シャインシャツ
Disable retail pause	標準ポーズ無効
Ghost appearance	ゴースト外見

# Setting choices.
Completed	クリア済み
No FLUDD	ポンプなし
All secrets	全ヒミツ
Unlocked	解禁
Rocket	ロケット
Turbo	ターボ
Hover	ホバー
Always	常時
Shine only	シャイン時のみ
Hidden	非表示
On freeze	フリーズ時
Slowest	最遅
Fastest	最速
Never	なし
Shadow Mario	ニセマリオ
Piantissimo	モンテマン
Ask	毎回確認
Auto-Save	自動保存
Don't ask	確認しない
0.5 s	0.5秒
1 s	1秒
2 s	2秒
3 s	3秒
5 s	5秒
25%	25％
50%	50％
75%	75％
100%	100％

# Bind names and recorder help.
Regrab last held object	最後に掴んだオブジェクトを再掴み
Spawn Yoshi: green	ヨッシー出現：緑
Spawn Yoshi: orange	ヨッシー出現：オレンジ
Spawn Yoshi: purple	ヨッシー出現：紫
Spawn Yoshi: pink	ヨッシー出現：桃
Fast forward 4x	4倍速
Fast forward 8x	8倍速
Open {AMP} close menu	メニューを開く・閉じる
Savestate: save	ステート：保存
Savestate: load	ステート：読込
Open warp wheel	ワープホイールを開く
Full restart	フルリスタート
Warp to last selected	前回の場所へワープ
Instant restart	即リスタート
Toggle input display	入力表示を切替
Show attempt counter	挑戦カウンター表示
Add attempt	挑戦を追加
Attempt -1	挑戦 -1
Attempt +1	挑戦 +1
Success -1	成功 -1
Success +1	成功 +1
press buttons...	ボタンを入力...
Release a button to set, or {C} to cancel	ボタンを離して決定、{C}で取消

# Task Edition identity.
V2.0.3 - Ghosts of Delfino	V2.0.3 "ドルピック島のゴースト ～Task Edition～"

# Input display and metadata editor.
Input display	入力表示
Value readout	数値表示
Value source	入力元
Value position	表示位置
Input style	入力表示スタイル
Reset layout	配置をリセット
Sticks	スティック
Full	すべて
Raw	生データ
Processed	補正後
Below	下
Above	上
Inside	内側
Main stick	メインスティック
C-stick	Cスティック
A button	Aボタン
B button	Bボタン
X button	Xボタン
Y button	Yボタン
L trigger	Lトリガー
R trigger	Rトリガー
Start	START
Z button	Zボタン
Value text	数値テキスト
Trigger outlines	トリガー枠
Input Display editor	入力表示エディター
Metadata display	メタデータ表示
Labels	ラベル
X Position	X座標
Y Position	Y座標
Z Position	Z座標
Mario Angle	マリオ角度
Horizontal Speed	水平速度
Vertical Speed	垂直速度
QF Offset	QFオフセット
Camera Angle	カメラ角度
Invincibility Frames	無敵フレーム
Pollution Degree	汚れ量
Spin Condition	スピン判定
Metadata style	メタデータスタイル
Short	短い
Long	長い
Custom	カスタム
Metadata	メタデータ
Metadata editor	メタデータエディター

# Creation/style editor.
Text hue	文字・色相
Text saturation	文字・彩度
Text lightness	文字・明度
Text opacity	文字・透明度
Text brightness	文字・明るさ
Background hue	背景・色相
Background saturation	背景・彩度
Background lightness	背景・明度
Background opacity	背景・透明度
Padding	余白
Element hue	要素・色相
Element saturation	要素・彩度
Element lightness	要素・明度
Element opacity	要素・透明度
Element brightness	要素・明るさ
All	全体
All elements	全要素
All characters	全文字
Character %s	文字 %s
 (space)	 （空白）
Position X:%u Y:%u   Size:%u pct	位置 X:%u Y:%u   サイズ:%u%%
Element HSL	要素HSL
Text HSL	文字HSL
Character HSL	文字HSL
%s:%03u,%03u,%03u   Background HSL:%03u,%03u,%03u	%s:%03u,%03u,%03u   背景HSL:%03u,%03u,%03u
%s: Mixed   Background HSL:%03u,%03u,%03u	%s: 混在   背景HSL:%03u,%03u,%03u
%s: Mixed	%s: 混在
Mixed	混在
%u pct	%u%%
{C} U{SLASH}D Option   {C} L{SLASH}R Adjust   START: Next   {X}+START: Previous	{C} 上下:項目   {C} 左右:調整   START:次   {X}+START:前
D-pad Move   L{SLASH}R Size	十字:移動   L{SLASH}R:サイズ
{A} Keep  {B} Cancel  {Z} Reset	{A} 保存  {B} 取消  {Z} リセット
Keep these changes?	変更を保存しますか？
Discard all changes?	変更を破棄しますか？
Reset selected option?	選択項目をリセットしますか？
{A} Confirm    {B} Go Back	{A} 決定    {B} 戻る
HUD	HUD
FLUDD water	ポンプの水
Coin streak	コイン連続表示
Red coin streak	赤コイン連続表示
Blue coin streak	青コイン連続表示
Lives streak	残機連続表示
Shines streak	シャイン連続表示
Life counter	ライフ表示
CUSTOM TEXT	カスタムテキスト
Word 1 text	テキスト1・内容
Word 1 style	テキスト1・スタイル
Word 1 visible	テキスト1・表示
Word 2 text	テキスト2・内容
Word 2 style	テキスト2・スタイル
Word 2 visible	テキスト2・表示
Word 3 text	テキスト3・内容
Word 3 style	テキスト3・スタイル
Word 3 visible	テキスト3・表示
MOD MENU	MODメニュー
Menu background	メニュー背景
Achievement popup	実績ポップアップ
System notifications	システム通知
IL PB popup	IL PBポップアップ
Normal digit 1	通常数字1
Normal digit 2	通常数字2
Normal digit 3	通常数字3
Normal digit 4	通常数字4
Normal digit 5	通常数字5
Normal digit 6	通常数字6
Countdown digit 1	カウント数字1
Countdown digit 2	カウント数字2
Countdown digit 3	カウント数字3
Countdown digit 4	カウント数字4
Separator 1	区切り1
Separator 2	区切り2
Separator 3	区切り3
1st	1回目
2nd	2回目
3rd	3回目
4th	4回目
5th	5回目
6th	6回目
Late	遅れ
Sunshine timer characters	タイマーの文字
Sunshine timer streak	タイマーの背景
Recent IL display	最近のIL表示
Achievement preview	実績プレビュー
System notification preview	システム通知プレビュー
Custom text style	カスタムテキストスタイル
Custom Text 1	カスタムテキスト1
Custom Text 2	カスタムテキスト2
Custom Text 3	カスタムテキスト3
Custom text %d   %u{SLASH}%u	カスタムテキスト%d   %u{SLASH}%u
D-pad Select   A Type   B Delete   X Space   Y Case   L{SLASH}R Page	十字:選択   A:入力   B:削除   X:空白   Y:大小   L{SLASH}R:ページ
START: Keep   X+START: Cancel   Z: Clear	START:保存   X+START:取消   Z:消去
Keep this text?	このテキストを保存しますか？
Discard text changes?	テキスト変更を破棄しますか？
Clear this text?	このテキストを消去しますか？
Recent ILs	最近のIL
Stage layout changed - save again	配置が変わりました。再保存してください
New PB!  1:23.456	PB更新！  1:23.456

# QFT, creation footer, resets, and settings persistence feedback.
QFT timer	QFTタイマー
QFT timer editor	QFTタイマーエディター
QFT leading zero	QFT桁数追加
TIME{SLASH}TEMPO label colour	TIME・TEMPOラベルの色
Show TIME{SLASH}TEMPO label	TIME・TEMPOラベルを表示
{A} Open{SLASH}Change   {C} L{SLASH}R Section   Saved on close	{A} 開く{SLASH}変更   {C} 左右:区間   閉じる時に保存
Factory reset	初期化
Reset Records	記録をリセット
Feedback display	通知表示
Wallkick display style	壁キック表示スタイル
FEEDBACK STYLE	通知スタイル
DISPLAY STYLE	表示スタイル
RESET	リセット
Reset all Records progress?	全記録の進行をリセットしますか？
Reset Records now?	今すぐ記録をリセットしますか？
Reset settings, binds and layouts?	設定・キー・配置をリセットしますか？
Reset settings now?	今すぐ設定をリセットしますか？
PBs and settings stay.	PBと設定は残ります。
PB achievements can return.	PB実績は再び解除できます。
This requires one more confirmation.	もう一度確認が必要です。
PBs and Records stay.	PBと記録は残ります。
{A} Continue    {B} Cancel	{A} 続ける    {B} キャンセル
{A} Reset    {B} Cancel	{A} リセット    {B} キャンセル
Records reset	記録をリセットしました
Saving settings...	設定を保存中...
Wait for settings save	設定の保存を待ってください
Settings saved	設定を保存しました
Settings save timed out	設定の保存が時間切れです
Settings unavailable: %s	設定不可：%s
Settings unavailable (error %lu)	設定を利用できません（エラー%lu）
Settings save failed: %s	設定保存失敗：%s
Settings save failed (error %lu)	設定の保存に失敗（エラー%lu）
storage I/O error	ストレージI/Oエラー
storage internal error	ストレージ内部エラー
storage not ready	ストレージ準備未完了
settings file missing	設定ファイルがありません
settings path missing	設定パスがありません
invalid settings filename	設定ファイル名が不正です
storage access denied	ストレージへのアクセス拒否
settings file already exists	設定ファイルは既にあります
invalid settings file	設定ファイルが不正です
storage is write-protected	ストレージは書込禁止です
invalid storage device	ストレージ機器が不正です
storage not mounted	ストレージ未接続です
storage has no FAT filesystem	FAT形式ではありません
format aborted	フォーマットを中止しました
storage timed out	ストレージが時間切れです
settings file locked	設定ファイルは使用中です
not enough memory	メモリー不足です
too many open files	開いているファイルが多すぎます
invalid storage parameter	ストレージ引数が不正です
wrong device in slot B	スロットBの機器が違います
no card in slot B	スロットBにカードがありません
slot B card I/O error	スロットBのI/Oエラー
slot B card unformatted	スロットBは未フォーマットです
card directory is full	カードの一覧が満杯です
slot B card is full	スロットBの容量がありません
settings file not writable	設定ファイルに書き込めません
slot B card limit reached	スロットBの上限です
settings filename too long	設定ファイル名が長すぎます
slot B encoding mismatch	スロットBの文字コード不一致
card operation canceled	カード処理を中止しました
fatal slot B card error	スロットBの致命的エラー
Global	全体

# IL menu and profile UI. Custom profile contents intentionally remain ASCII.
PB profile	PBプロファイル
Profile name	プロファイル名
Recent IL names	最近のIL名
Theoretical best	理論値
Fixed	固定
Off (Intro Skip)	オフ（イントロスキップ）
This profile name is fixed	このプロファイル名は固定です
Name PB profile	PBプロファイル名
(Custom profile)	（カスタムプロファイル）
Delete PB?	PBを削除しますか？
PB deleted	PBを削除しました
{A} Toggle{SLASH}Edit  {X} Shine  {C} U{SLASH}D Select L{SLASH}R Section	{A} 切替{SLASH}編集  {X} 登録  {C} 上下:選択 左右:区間
{A} Start  {X} Delete  {C} U{SLASH}D Select L{SLASH}R Section	{A} 開始  {X} 削除  {C} 上下:選択 左右:区間
Any percent	Any％
120 Shines	シャイン120枚
PB card save failed: %lu	PBカード保存に失敗：%lu
PB card save timed out	PBカード保存が時間切れです
PB save failed: %u	PB保存に失敗：%u
PB save timed out	PB保存が時間切れです
NEW PB: %s --	PB更新：%s --
NEW PB: %s %s	PB更新：%s %s

# Ghost storage status and errors.
Ghost storage unavailable	ゴースト保存を利用できません
Ghost storage unavailable in Dolphin	Dolphinではゴースト保存不可
Ghost storage ready	ゴースト保存準備完了
Refreshing ghost slots	ゴースト一覧を更新中
Saving ghost	ゴーストを保存中
Loading ghost	ゴーストを読込中
Deleting ghost	ゴーストを削除中
Exporting .smsghost file	.smsghostを書出中
Scanning imported ghosts	取込ゴーストを検索中
Ghost saved	ゴーストを保存しました
Ghost loaded	ゴーストを読み込みました
Ghost deleted	ゴーストを削除しました
Ghost exported to share folder	shareフォルダへ書き出しました
Export filename already exists	同名の書出ファイルがあります
Imported ghosts refreshed	取込ゴーストを更新しました
12 imported ghosts shown; more found	取込ゴーストは12件まで表示
Ghost changed; confirm save again	ゴーストが変わりました。再確認してください
Stale ghost load ignored	古いゴースト読込を無視しました
No ghost ready to save	保存できるゴーストがありません
Refresh ghost slots first	先にゴースト一覧を更新してください
Ghost storage busy	ゴースト保存処理中
Invalid ghost slot	無効なゴースト枠です
Ghost slot occupied	ゴースト枠は使用中です
Ghost slot is empty	ゴースト枠は空です
Ghost slot is unsafe	安全でないゴースト枠です
Could not prepare ghost file	ゴーストファイルを準備できません
Loaded ghost failed validation	ゴーストの検証に失敗しました
Ghost storage timed out; still waiting	ゴースト保存が時間切れです
Ghost storage protocol error	ゴースト保存通信エラー
Ghost storage request rejected	ゴースト保存要求が拒否されました
Ghost file is too large	ゴーストファイルが大きすぎます
Ghost file is corrupt	ゴーストファイルが壊れています
Ghost version is unsupported	未対応のゴースト版です
Ghost profile quota reached	ゴースト上限に達しました
Ghost slot was not found	ゴースト枠が見つかりません
Ghost storage I/O error	ゴースト保存I/Oエラー
Ghost catalog failed validation	ゴースト一覧の検証に失敗
Empty slot	空き枠
Unsafe ghost	安全でないゴースト
Unnamed ghost	名称なしゴースト

# Ghost library rows, actions, prompts, and notifications.
GHOST LIBRARY	ゴーストライブラリ
Auto race target	自動レース相手
Last success	直前の成功
Last attempt	直前の挑戦
PB ghost save	PBゴースト保存
Race target	レース相手
PERSONAL	個人
IMPORTED	取込
Scan import folder	取込フォルダを検索
drag & drop .smsghost	.smsghostを入れてください
Not scanned	未検索
Read-only	読取専用
Rejected	拒否
RACING	レース中
GHOST 1	ゴースト1
Auto target	自動選択
Pinned ghost	固定ゴースト
Selected ghost	選択中のゴースト
Saved ghost	保存済みゴースト
Watch %d loading	観戦%d 読込中
Watching %d (%d/%d)	観戦%d (%d/%d)
Imported %02d (pinned)	取込%02d（固定）
Slot %02d (pinned)	枠%02d（固定）
PERSONAL %d/45  %lu:%02lu / 10h	個人 %d/45  %lu:%02lu / 10h
IMPORTED %d/12  %lu:%02lu  +%lu MORE	取込 %d/12  %lu:%02lu  他%lu
IMPORTED %d/12  %lu:%02lu	取込 %d/12  %lu:%02lu
%02d (unsafe)	%02d（危険）
%02d (empty)	%02d（空き）
What should this ghost do?	このゴーストで何をしますか？
{A} Race   {Y} Watch   {X} Watch 2	{A} レース   {Y} 観戦   {X} 2体観戦
Watch is visual-only for this loaded area	現在のエリアで観賞します（操作は再現しません）。
Discard unsaved PB ghost?	未保存のPBゴーストを破棄しますか？
The selected ghost action will destroy it.	この操作で未保存のゴーストが失われます。
{A} Discard & continue    {B} Cancel	{A} 破棄して続行    {B} キャンセル
Loading visual ghost 2 of 2...	観戦ゴースト2/2を読込中...
Loading visual ghost 1 of 2...	観戦ゴースト1/2を読込中...
Loading visual ghost...	観戦ゴーストを読込中...
Recording is paused while Watch prepares	観賞の準備中は録画を停止します。
Delete imported file from SD?	SDの取込ファイルを削除しますか？
Delete ghost from SD?	SDのゴーストを削除しますか？
Save %s?	「%s」を保存？
Personal slot %02d	個人枠 %02d
Deleting ghost to free a slot...	空きを作るため削除中...
Saving protected PB ghost...	保護PBゴーストを保存中...
All personal ghost slots are full	個人ゴースト枠が満杯です
Preparing protected PB save...	保護PBの保存を準備中...
Slot %02d: %s	枠%02d：%s
{C} Up/Down Choose  {X} Delete  {B} Back	{C} 上下:選択  {X} 削除  {B} 戻る
{B} Back to PB protection	{B} PB保護へ戻る
{A} Choose ghost 2  {C} L{SLASH}R Section  {B} Back	{A} ゴースト2選択  {C} 左右:区間  {B} 戻る
{A} Change  {C} L{SLASH}R Section  {Y} Rescan	{A} 変更  {C} 左右:区間  {Y} 再検索
{A} Select  {C} L{SLASH}R Section  {X} Delete  {Z} Export	{A} 選択  {C} 左右:区間  {X} 削除  {Z} 書出
Deleting ghost...	ゴーストを削除中...
Saving ghost...	ゴーストを保存中...
Scanning import folder...	取込フォルダを検索中...
Refreshing ghosts...	ゴーストを更新中...
Refreshing imports...	取込一覧を更新中...
Ghost watch ended	ゴースト観戦を終了しました
Choose a saved slot to delete first	削除する保存枠を選んでください
Choose a writable saved ghost	書込可能なゴーストを選んでください
Ghost row changed; choose again	一覧が変わりました。再選択してください
Loading ghost to race...	レース用ゴーストを読込中...
Ghost race target cleared	レース相手を解除しました
Enable Ghost Display before Watch	観戦前にゴースト表示をオンにしてください
Watch unavailable in this stage	このステージでは観戦できません
Loading ghost 1 of 2...	ゴースト1/2を読込中...
Loading ghost to watch...	観戦用ゴーストを読込中...
Warping to 2-ghost watch - B/Start exits	2体観戦へワープ中 - B/STARTで終了
Warping to ghost watch - B/Start exits	観戦へワープ中 - B/STARTで終了
Ghost watch canceled	ゴースト観戦を中止しました
Ghost 2 changed or could not load	ゴースト2を読み込めません
Loading ghost 2 of 2...	ゴースト2/2を読込中...
Choose a different ghost for marker 2	別のゴースト2を選んでください
Choose a saved, validated ghost	検証済みゴーストを選んでください
Choose a different second ghost	別の2体目を選んでください
Library ghost unpinned	ライブラリ固定を解除しました
No pinned library ghost	固定ゴーストはありません
Ghost slot is read-only/unsafe	ゴースト枠は読取専用です
No imported ghost in this row	この行に取込ゴーストはありません
Imported ghost changed; rescan	取込内容が変わりました。再検索してください
Ghost row changed; refresh	一覧が変わりました。更新してください
No ghost recording to save	保存するゴースト記録がありません
Imported files are already shareable	取込ファイルはそのまま共有できます
Select a personal ghost to export	書き出す個人ゴーストを選んでください
Select a saved ghost to export	書き出す保存ゴーストを選んでください
Exporting .smsghost...	.smsghostを書出中...

# Ghost recorder/observer messages.
Ghost: segment capacity reached	ゴースト：区間上限です
Ghost: 15 minute cap	ゴースト：15分上限です
Ghost: sample capacity reached	ゴースト：記録上限です
Ghost challenger ready: save or unpin	挑戦ゴースト準備完了：保存か解除
Observer stopped: unexpected stage change	予期しない移動で観戦終了
Ghost: route ended	ゴースト：ルート終了
Ghost recording disabled: fast-forward	倍速中はゴーストを記録しません
Observer stopped: savestate loaded	ステート読込で観戦終了
Ghost routes cannot be watched together	異なるルートのゴーストは同時観戦できません
Ghost: Mario disappeared	ゴースト：マリオが消えました
Ghost: negative QFT	ゴースト：QFTが負になりました
Ghost: missing route segment	ゴースト：ルート区間がありません
Ghost: sample clock regressed	ゴースト：記録時間が逆行しました
Ghost: sample clock gap	ゴースト：記録時間に空白があります
Ghost: invalid Mario position	ゴースト：マリオの位置が不正です
Ghost: invalid Mario animation	ゴースト：マリオの動きが不正です
Ghost: cross-stage QFT regression	ゴースト：移動後にQFTが逆行しました
Observer stopped: fast-forward	倍速のため観戦を終了しました
Observer stopped: route load failed	ルート読込失敗で観戦終了
Ghost observer finished	ゴースト観戦が完了しました

# Savestate and small gameplay overlays.
Can't save during stage loading	ロード中はステート保存できません
Savestate unavailable	ステートを利用できません
Savestate is too large	ステートが大きすぎます
Savestate saved	ステートを保存しました
Can't load during stage loading	ロード中はステート読込できません
No savestate yet	ステートがありません
Savestate is from another build	別ビルドのステートです
Savestate is from another region	別リージョンのステートです
Savestate belongs to another area	別エリアのステートです
Memory card busy - try again	メモリーカード処理中です
Savestate loaded	ステートを読み込みました
Z: Show everything	Z：すべて表示
Z: Hide everything	Z：すべて隠す
Pattern	パターン

# Warp wheel and protected-PB prompt.
Warp	ワープ
Auto-saving PB ghost...	PBゴーストを自動保存中...
Unsaved PB ghost	未保存PBゴースト
Protect unsaved PB ghost?	未保存PBゴーストを保護しますか？
Savestate load cannot preserve this recording.	ステート読込ではこの記録を保持できません。
Save it now, or continue unsaved.	今すぐ保存するか未保存で続けます。
{B} Use Ask instead; the PB stays protected	{B} 毎回確認へ変更（PBは保護）
{A} Ghosts / Save    {B} Load & lose ghost	{A} ゴースト保存    {B} 読込して破棄
{A} Ghosts / Save    {B} Continue unsaved	{A} ゴースト保存    {B} 未保存で続行
Warps disabled	ワープは無効です
Could not open protected PB save	PB保護保存を開けません
Save PB ghost before chart warp	ワープ前にPBゴーストを保存してください
Course warp cancelled	コースワープを中止しました
Restart queued	リスタートを予約しました
Auto-save stopped; choose save or continue	自動保存を中止しました。保存するか続行してください
Ghost slots full; choose save or continue	ゴースト枠が満杯です。保存するか続行してください

# Warp-wheel destinations.
Windmill	風車
Bianco 3	ビアンコ3
Bianco 6	ビアンコ6
Blooper	ボスゲッソー
Blooper Race	イカレース
Ricco 4	リコ4
Gelato 1	マンマ1
Sand Bird	大砂鳥
Mecha-Bowser	メカクッパ
Pinna 2	ピンナ2
Pinna 6	ピンナ6
Balloons	風船
Sirena 2	シレナ2
Sirena 4	シレナ4
King Boo	キングテレサ
Pianta 5	モンテ5
Bottle	ビン
Eel	ウナギ
Noki 6	マーレ6
Red Fish	赤い魚
Ep2 Hotel	E2 ホテル
Ep3 Hotel	E3 ホテル
Ep4 Hotel	E4 ホテル
Ep4 Casino	E4 カジノ
Ep5 Hotel	E5 ホテル
Ep5 Casino	E5 カジノ
Ep7 Hotel	E7 ホテル
Ep8 Reds	E8 赤コイン
Bianco Chase	ビアンコ追跡
R{AMP}G Plants	リコ・マンマのボス
Peaceful	平和
Pinna Cut	ピンナカット
Yoshi	ヨッシー
Flooded	水没
Post-Corona	コロナ後
Beach Pipe	ビーチ土管
Grass Pipe	草原土管
Lilypad	どくの川
Jail	牢屋
Airstrip	エアポート
Air Reds	エアポート赤コイン
Corona	コロナ
Bianco Subareas	ビアンコのサブエリア
Ricco Subareas	リコのサブエリア
Gelato Subareas	マンマのサブエリア
Pinna Subareas	ピンナのサブエリア
Sirena Subareas	シレナのサブエリア
Pianta Subareas	モンテのサブエリア
Noki Subareas	マーレのサブエリア
Sirena Hotel	シレナホテル
Delfino Plaza	ドルピックタウン
Delfino Secrets	ドルピックのヒミツ
Hotel	ホテル

# IL course groups and complete long-label roster. Persisted PB profile names
# and compact speedrun abbreviations remain ASCII by design.
BIANCO	ビアンコ
RICCO	リコ
GELATO	マンマ
PINNA	ピンナ
SIRENA	シレナ
NOKI	マーレ
PIANTA	モンテ
AIRSTRIP	エアポート
CORONA	コロナ
DELFINO	ドルピック
ANY PERCENT	Any％
Bianco	ビアンコ
Ricco	リコ
Gelato	マンマ
Pinna	ピンナ
Sirena	シレナ
Noki	マーレ
Pianta	モンテ
Delfino	ドルピック
Bianco 1	ビアンコ1
Bianco 2	ビアンコ2
Bianco 3 (Full)	ビアンコ3（通し）
Bianco 3 (Secret)	ビアンコ3（ヒミツ）
Bianco 3 Reds	ビアンコ3 赤コイン
Bianco 4	ビアンコ4
Bianco 5	ビアンコ5
Bianco 6 (Full)	ビアンコ6（通し）
Bianco 6 (Secret)	ビアンコ6（ヒミツ）
Bianco 6 Reds	ビアンコ6 赤コイン
Bianco 7	ビアンコ7
Bianco 8	ビアンコ8
Bianco 100 (E6)	ビアンコ100枚（E6）
Ricco 1	リコ1
Ricco 2 (Full)	リコ2（通し）
Ricco 2 (Race)	リコ2（レース）
Ricco 3	リコ3
Ricco 4 (Full)	リコ4（通し）
Ricco 4 (Secret)	リコ4（ヒミツ）
Ricco 4 Reds	リコ4 赤コイン
Ricco 5	リコ5
Ricco 6	リコ6
Ricco 7	リコ7
Ricco 8	リコ8
Ricco 100 (E3)	リコ100枚（E3）
Gelato 1 (Full)	マンマ1（通し）
Gelato 1 (Secret)	マンマ1（ヒミツ）
Gelato 1 Reds	マンマ1 赤コイン
Gelato 2	マンマ2
Gelato 3	マンマ3
Gelato 4	マンマ4
Gelato 4 (Inside)	マンマ4（内部）
